ID	fold	statistic	pval	padj	rgd_symbol	entrezgene	refseq_mrna	refseq_peptide	refseq_ncrna	gene_biotype
Trmt6	0.419504407598966	2.65610581958502	0.0171958798224354	0.147580455298515	Trmt6	311441	NM_001107779	NP_001101249	NA	protein_coding
LOC103692719	0.381129661279382	2.25949661568406	0.0380783277633455	0.221745891140887	LOC103692719	314462	NM_001007706	NP_001007707	NA	protein_coding
Prmt5	0.237063529760718	2.45558639799979	0.0258128198396053	0.182840039753409	Prmt5	364382	NM_001108867	NP_001102337	NA	protein_coding
Snrpf	0.465330979010837	3.91219404490152	0.00123028992759004	0.048112581660292	Snrpf	680737	NM_001126091	NP_001119563	NA	protein_coding
Snrpd3	0.195246034669863	1.32866706939057	0.202499446800216	0.490750790885298	Snrpd3	687711	NA	NA	NA	protein_coding
Erh	0.280442388959298	2.06451055185581	0.0554814750665298	0.263145748646894	Erh	681415	NA	NP_001102912	NA	protein_coding
Clns1a	0.130170760491719	1.23509679929339	0.234531144909716	0.524053497801525	Clns1a	65160	NM_031719	NP_113907	NA	protein_coding
Snrpb	0.477431410137894	3.3538641186973	0.00400948510623105	0.0768302298526264	Snrpb	171365	NM_134358	NP_599185	NA	protein_coding
Paxip1	0.00699963348679056	0.0464985415490081	0.963485286733051	0.984599157080907	Paxip1	311944	NM_001107844	NP_001101314	NA	protein_coding
Kmt2d	0.0536495303638027	0.476400669973829	0.640195617061066	0.829204783662762	Kmt2d	25520	NM_013010	NP_037142	NA	protein_coding
Prdm4	0.102718694928105	0.818763884072023	0.424885408065329	0.686835748339052	Prdm4	170820	NM_133312	NP_579846	NA	protein_coding
Kmt2b	0.0151863295802004	0.16345197334541	0.872198544211948	0.947079982297552	Kmt2b	102550344	NA	NA	NA	protein_coding
Cbx5	0.137074389866368	0.66567990141797	0.515048708901959	0.751047543361042	Cbx5	300266	NM_001106797	NP_001100267	NA	protein_coding
Men1	-0.00783055374781316	-0.0905963128712902	0.928931897477516	0.972434811051813	Men1	29417	NM_019208	NP_062081	NA	protein_coding
Ncoa6	0.0820967496516305	0.893107188282704	0.384966655399048	0.658762761779731	Ncoa6	116464	NM_001276714	NP_001263643	NA	protein_coding
Cxxc1	0.23621947048497	1.80778317582961	0.0893752458683692	0.332801523760633	Cxxc1	291440	NM_001079698	NP_001073166	NA	protein_coding
Zfp335	0.0992367170184751	0.932310493300966	0.364959362995693	0.642892854573202	Zfp335	259270	NA	NA	NA	protein_coding
Kmt2a	0.0195941210447996	0.232873479094859	0.818796904763795	0.921009992883427	Kmt2a	315606	NA	NA	NA	protein_coding
Setd1a	0.0838913964482417	1.2668120521635	0.223258277334074	0.511593282018869	Setd1a	NA	NA	NA	NA	protein_coding
Rbbp5	0.0893846472911237	0.762845462761997	0.45659761427655	0.710673053355078	Rbbp5	304794	NM_001107174	NP_001100644	NA	protein_coding
Ash2l	0.24132980046282	1.75472581885143	0.0983314246757936	0.348092805341154	Ash2l	290829	NM_001106089	NP_001099559	NA	protein_coding
NEWGENE_1565481	-0.0102062901155167	-0.106775701866384	0.916287261362503	0.965202270020785	NEWGENE_1565481	103689969	NA	NA	NA	protein_coding
Dpy30	0.105600151390281	0.700318619753655	0.493733824712189	0.736130186014002	Dpy30	286897	NM_173117	NP_775140	NA	protein_coding
Wdr5	0.243812952693023	2.26841077577475	0.0374190493477548	0.220053503011575	Wdr5	362093	NM_001039034	NP_001034123	NA	protein_coding
Ezh2	0.252794904128741	1.13129746227553	0.27451459943027	0.565709526669872	Ezh2	312299	NM_001134979	NP_001128451	NA	protein_coding
Mtf2	-0.136721562966089	-1.15555712187472	0.264738635737927	0.55592785108872	Mtf2	360905	NM_001100898	NP_001094368	NA	protein_coding
Hdac2	0.104721495974971	0.708034992583724	0.489056846563121	0.732909946556683	Hdac2	84577	NM_053447	NP_445899	NA	protein_coding
Eed	0.233506447293763	1.41586970327169	0.175884947541432	0.458392152763538	Eed	293104	NM_001106278	NP_001099748	NA	protein_coding
H2afy2	0.227727356127516	2.21994943636853	0.0411354855666397	0.228359601837462	H2afy2	361844	NM_001135807	NP_001129279	NA	protein_coding
Phf19	0.241202117169203	1.47153942097465	0.16043825890575	0.438638808041791	Phf19	296653	NM_001106570	NP_001100040	NA	protein_coding
Rbbp7	0.191591706539933	1.60099094815536	0.128832407019139	0.396289944600484	Rbbp7	83712	NM_031816	NP_114004	NA	protein_coding
Ezh1	-0.274692411999201	-1.55861968226867	0.138541638839193	0.410094243605823	Ezh1	303547	NM_001107051	NP_001100521	NA	protein_coding
Phf1	-0.125100158783113	-0.84221380100622	0.412015653748128	0.677125946371854	Phf1	294287	NM_212538	NP_997703	NA	protein_coding
H2afy	0.129808227057515	1.324210349418	0.203941890539414	0.491575387106814	H2afy	29384	NM_017182	NP_058878	NA	protein_coding
Mettl14	-0.177770149096624	-1.29612981813726	0.213219342638827	0.502881472205112	Mettl14	295428	NM_001106470	NP_001099940	NA	protein_coding
RGD1559904	0.102207063552417	0.847546900372778	0.409124427770345	0.675069442808897	RGD1559904	313061	NM_001107915	NP_001101385	NA	protein_coding
Mettl3	0.080547603656524	0.761722219154047	0.457249256686102	0.71113100916085	Mettl3	361035	NM_001024794	NP_001019965	NA	protein_coding
Wtap	0.0640289980360675	0.447820498420414	0.660255036304088	0.841020743302762	Wtap	499020	NM_001113542	NP_001107014	NA	protein_coding
Mettl1	0.152976675979436	1.56700518649296	0.136572502874392	0.407600634828622	Mettl1	679091	NA	NA	NA	protein_coding
Hcfc1	0.165617005727645	1.71517823539884	0.105508527252831	0.360310502670205	Hcfc1	363519	NM_001139507	NP_001132979	NA	protein_coding
Actb	0.0492803588730943	0.522758850121574	0.608267773146828	0.810073703238156	Actb	81822	NM_031144	NP_112406	NA	protein_coding
Ppp1cc	-0.174703139043121	-1.5574167464317	0.138826074782606	0.410447748406747	Ppp1cc	24669	NM_022498	NP_071943	NA	protein_coding
Ppp1ca	0.19304547107286	2.0195579013286	0.060411578446395	0.274635728672149	Ppp1ca	24668	NM_031527	NP_113715	NA	protein_coding
Ppp1cb	-0.348850700036769	-1.66097455566302	0.116081661819629	0.377803402072719	Ppp1cb	25594	NM_013065	NP_037197	NA	protein_coding
Kmt2e	-0.196535101466997	-1.70032994504648	0.108318478095265	0.364768967983434	Kmt2e	NA	NA	NA	NA	protein_coding
Ogt	-0.203492714754926	-0.943588358315264	0.359337698798595	0.637960441574349	Ogt	26295	NM_017107	NP_058803	NA	protein_coding
Phf20	0.181045367053789	1.42697813802979	0.172709048567953	0.454830228306099	Phf20	311575	NM_001107795	NP_001101265	NA	protein_coding
Chd8	-0.0225170795236123	-0.353175813237625	0.728542420373681	0.873142923488749	Chd8	65027	NM_022933	NP_075222	NA	protein_coding
Tex10	0.403390821024239	2.47050686578604	0.025051242583728	0.181249535736088	Tex10	298065	NM_001106653	NP_001100123	NA	protein_coding
Mga	-0.230400398112115	-1.82722525411686	0.086277900755765	0.32635791483597	Mga	499874	NA	NA	NA	protein_coding
Mcrs1	-0.138910174124883	-1.2057172802289	0.245363196370635	0.5347247113937	Mcrs1	300222	NM_001013106	NP_001013124	NA	protein_coding
E2f6	0.124580329932947	1.34375396312596	0.197676848524491	0.48505572979452	E2f6	313978	NM_001100717	NP_001094187	NA	protein_coding
Taf6	0.153282208958659	1.42531363250829	0.173181919385307	0.455496416915442	Taf6	288533	NM_001044225	NP_001037690	NA	protein_coding
Ino80c	-0.0557432985461812	-0.50223292979931	0.62230888046734	0.818365654882034	Ino80c	291737	NM_001017446	NP_001017446	NA	protein_coding
Las1l	0.161428235376361	1.39903309651497	0.180789275413981	0.464542051203639	Las1l	296865	NA	NP_001164061	NA	protein_coding
Ruvbl1	0.456458596848169	2.58835289136899	0.0197425995469487	0.159248076615861	Ruvbl1	65137	NM_147177	NP_671706	NA	protein_coding
Max	-0.528549150134833	-1.79874237264559	0.0908486551771763	0.335982186232632	Max	60661	NM_022210	NP_071546	NA	protein_coding
Ruvbl2	0.409584396692161	2.31751907514575	0.0339738343106871	0.211754931164177	Ruvbl2	292907	NM_001025405	NP_001020576	NA	protein_coding
